time 0.05 0.02 0.01 0.005
0.00 1.037 1.099 1.017 1.057
0.03 0.802 0.969 1.004 1.103
0.06 0.678 0.837 0.944 0.979
0.08 0.648 0.868 0.897 0.889
0.11 0.500 0.712 0.896 0.979
0.14 0.382 0.762 0.827 0.936
0.17 0.224 0.724 0.843 0.853
0.19 0.259 0.611 0.834 0.781
0.22 0.244 0.520 0.709 0.907
0.25 0.129 0.570 0.674 0.870
0.28 0.170 0.446 0.754 0.860
0.31 0.140 0.434 0.633 0.725
0.33 0.127 0.427 0.659 0.803
0.36 0.019 0.372 0.626 0.811
0.39 0.049 0.429 0.622 0.804
0.42 0.018 0.244 0.566 0.786
0.44 -0.061 0.224 0.633 0.779
0.47 -0.055 0.272 0.466 0.718
0.50 0.102 0.125 0.562 0.714
0.53 -0.021 0.185 0.507 0.726
0.56 0.011 0.243 0.512 0.693
0.58 -0.023 0.161 0.321 0.751
0.61 -0.029 0.228 0.412 0.734
0.64 0.013 0.133 0.457 0.640
0.67 -0.026 0.141 0.442 0.667
0.69 0.003 0.182 0.417 0.608
0.72 0.061 0.049 0.346 0.582
0.75 -0.038 0.076 0.347 0.641
0.78 -0.038 0.073 0.356 0.497
0.81 0.055 0.084 0.325 0.622
0.83 -0.017 -0.016 0.285 0.565
0.86 -0.099 0.142 0.390 0.553
0.89 0.029 0.156 0.358 0.548
0.92 0.022 -0.002 0.369 0.588
0.94 -0.028 0.056 0.224 0.522
0.97 0.040 -0.026 0.211 0.567
1.00 0.028 0.080 0.158 0.522
1.03 0.013 -0.017 0.270 0.536
1.06 0.074 0.121 0.264 0.423
1.08 0.063 0.053 0.190 0.427
1.11 0.010 0.024 0.211 0.466
1.14 0.091 0.035 0.232 0.480
1.17 0.000 0.064 0.251 0.478
1.19 -0.035 0.023 0.048 0.472
1.22 -0.012 -0.028 0.150 0.550
1.25 -0.065 0.084 0.098 0.362
1.28 0.087 -0.002 0.152 0.454
1.31 0.064 -0.022 0.124 0.392
1.33 -0.095 -0.047 0.142 0.419
1.36 -0.018 0.023 0.031 0.393
1.39 0.098 0.071 0.133 0.293
1.42 -0.057 -0.017 0.042 0.377
1.44 0.045 -0.003 0.128 0.356
1.47 -0.029 0.017 0.143 0.421
1.50 0.053 -0.008 0.114 0.341
1.53 -0.032 0.014 0.166 0.274
1.56 0.017 -0.066 0.049 0.283
1.58 0.016 0.033 0.086 0.355
1.61 -0.003 0.009 0.129 0.245
1.64 -0.078 0.054 0.107 0.298
1.67 0.049 -0.008 0.020 0.375
1.69 0.081 -0.009 0.011 0.423
1.72 0.035 0.081 0.078 0.323
1.75 0.065 0.065 0.031 0.329
1.78 -0.018 0.037 -0.016 0.298
1.81 -0.042 0.069 0.040 0.371
1.83 0.078 -0.018 0.054 0.286
1.86 -0.044 0.058 0.008 0.257
1.89 -0.014 0.028 0.134 0.308
1.92 0.066 -0.013 -0.020 0.312
1.94 -0.024 0.021 0.106 0.201
1.97 -0.013 0.061 0.057 0.246
2.00 0.115 -0.003 0.056 0.241
2.03 0.008 0.050 0.023 0.244
2.06 -0.049 -0.076 0.115 0.129
2.08 -0.006 0.007 0.021 0.138
2.11 0.071 0.011 0.017 0.256
2.14 -0.013 -0.020 0.064 0.218
2.17 0.023 0.009 -0.007 0.216
2.19 0.058 0.032 -0.001 0.184
2.22 0.057 0.006 -0.001 0.272
2.25 -0.047 0.076 0.052 0.219
2.28 -0.109 -0.074 -0.012 0.205
2.31 -0.013 0.044 0.035 0.248
2.33 0.002 -0.022 0.070 0.097
2.36 0.004 0.060 0.076 0.195
2.39 0.047 0.060 0.077 0.110
2.42 -0.012 -0.022 -0.008 0.240
2.44 0.023 0.024 0.013 0.188
2.47 0.018 -0.136 0.052 0.199
2.50 -0.025 0.026 0.089 0.180
2.53 0.022 0.000 0.039 0.145
2.56 0.047 0.021 0.045 0.087
2.58 0.053 -0.020 0.097 0.084
2.61 0.036 -0.033 0.054 0.123
2.64 -0.066 -0.025 -0.050 0.215
2.67 0.029 0.104 0.052 0.077
2.69 -0.022 -0.040 -0.018 0.241
2.72 0.074 -0.052 -0.029 0.084
2.75 0.012 -0.017 0.004 0.117
2.78 0.050 0.032 0.073 0.070
2.81 0.038 0.039 -0.009 0.205
2.83 -0.003 0.018 -0.064 0.138
2.86 -0.008 -0.110 0.031 0.175
2.89 -0.002 0.051 -0.014 0.123
2.92 -0.030 0.057 -0.003 0.074
2.94 -0.020 0.012 -0.016 0.152
2.97 -0.013 0.001 0.098 0.132
3.00 0.004 0.075 -0.037 0.085
3.03 0.050 0.073 0.083 0.091
3.06 0.019 -0.047 -0.004 0.168
3.08 0.029 -0.032 -0.089 0.187
3.11 0.020 0.036 0.009 0.117
3.14 -0.043 0.048 -0.032 0.148
3.17 -0.045 0.107 0.000 -0.021
3.19 -0.002 -0.020 -0.046 0.100
3.22 0.091 0.061 -0.009 0.077
3.25 0.007 -0.017 0.007 0.074
3.28 -0.031 0.006 -0.029 0.067
3.31 -0.086 0.036 0.027 0.088
3.33 -0.041 -0.061 0.016 0.097
3.36 -0.040 -0.053 0.101 -0.038
3.39 0.034 0.040 0.031 0.027
3.42 0.003 0.016 0.039 0.010
3.44 0.001 0.060 -0.073 0.089
3.47 0.018 0.060 -0.028 0.051
3.50 0.028 0.065 0.018 -0.022
3.53 0.060 -0.020 -0.033 0.056
3.56 0.000 0.044 0.006 0.014
3.58 0.038 -0.036 -0.031 0.022
3.61 -0.010 0.034 0.035 0.073
3.64 0.008 0.068 -0.027 0.022
3.67 0.053 0.053 -0.016 0.090
3.69 0.020 0.099 0.050 0.022
3.72 -0.015 -0.114 -0.012 0.078
3.75 -0.035 -0.027 -0.003 0.130
3.78 0.012 -0.037 0.050 0.104
3.81 -0.037 -0.003 0.026 0.049
3.83 -0.056 -0.078 0.107 0.005
3.86 0.057 0.018 0.028 -0.007
3.89 -0.049 0.004 -0.110 0.077
3.92 -0.030 -0.031 0.054 0.107
3.94 0.045 0.024 0.048 0.052
3.97 -0.008 0.047 0.039 -0.035
4.00 0.031 0.095 0.103 0.053
4.03 0.017 0.014 0.062 -0.045
4.06 -0.018 -0.084 -0.043 0.092
4.08 0.034 -0.009 0.069 0.079
4.11 0.018 -0.018 -0.009 0.016
4.14 -0.038 -0.068 0.084 0.090
4.17 0.022 0.021 0.027 0.091
4.19 0.020 0.119 -0.081 -0.050
4.22 0.038 0.053 -0.011 -0.074
4.25 0.003 0.132 0.018 0.039
4.28 -0.010 0.036 -0.012 0.106
4.31 0.011 0.062 0.051 0.094
4.33 0.004 0.035 0.007 0.014
4.36 -0.033 -0.014 0.068 -0.020
4.39 0.013 -0.004 0.035 0.154
4.42 0.053 0.030 -0.085 -0.013
4.44 0.038 0.048 -0.009 0.039
4.47 -0.072 -0.012 -0.021 0.013
4.50 0.010 0.043 0.024 0.085
4.53 -0.014 -0.019 0.104 -0.033
4.56 -0.001 -0.007 0.070 0.003
4.58 0.075 0.028 -0.026 -0.005
4.61 -0.037 0.075 0.015 -0.003
4.64 -0.074 0.016 -0.022 -0.019
4.67 -0.005 0.018 -0.042 -0.029
4.69 0.009 0.060 0.070 0.001
4.72 -0.029 0.081 0.098 0.094
4.75 0.007 0.134 0.058 0.039
