time 2e-3 1.5e-3 1e-3
0 0.200 0.200 0.200
6 0.186 0.188 0.190
18 0.162 0.168 0.174
30 0.141 0.149 0.159
42 0.122 0.132 0.144
54 0.104 0.116 0.131
66 0.088 0.101 0.118
78 0.073 0.087 0.106
90 0.060 0.075 0.095
102 0.047 0.063 0.084
114 0.036 0.052 0.074
126 0.026 0.043 0.065
138 0.017 0.033 0.056
150 0.009 0.025 0.048
162 0.002 0.017 0.040
174 0.000 0.010 0.033
186 0.000 0.004 0.027
198 0.000 0.000 0.020
210 0.000 0.000 0.014
222 0.000 0.000 0.009
234 0.000 0.000 0.004
246 0.000 0.000 0.001
258 0.000 0.000 0.000
270 0.000 0.000 0.000
282 0.000 0.000 0.000
300 0.000 0.000 0.000
